timestamp,source_ip,username,protocol,event_type,status,details
2026-05-20T15:27:30.910959,192.168.1.42,user,ssh,login_attempt,FAILED,Connection closed
2026-05-20T15:32:30.910959,192.168.1.50,admin,ssh,login_attempt,SUCCESS,
2026-05-20T15:37:30.910959,192.168.1.6,admin,ssh,login_attempt,SUCCESS,
2026-05-20T15:42:30.910959,192.168.1.11,user,ssh,login_attempt,FAILED,Timeout
2026-05-20T15:47:30.910959,192.168.1.40,user,ssh,login_attempt,SUCCESS,
2026-05-20T15:52:30.910959,192.168.1.15,user,ssh,login_attempt,SUCCESS,
2026-05-20T15:57:30.910959,192.168.1.47,user,ssh,login_attempt,SUCCESS,
2026-05-20T16:02:30.910959,192.168.1.24,admin,ssh,login_attempt,SUCCESS,
2026-05-20T16:07:30.910959,192.168.1.20,user,ssh,login_attempt,SUCCESS,
2026-05-20T16:12:30.910959,192.168.1.35,user,ssh,login_attempt,FAILED,Invalid password
2026-05-20T16:17:30.910959,192.168.1.49,user,ssh,login_attempt,SUCCESS,
2026-05-20T16:22:30.910959,192.168.1.12,admin,ssh,login_attempt,FAILED,Failed password
2026-05-20T16:27:30.910959,192.168.1.22,admin,ssh,login_attempt,FAILED,Timeout
2026-05-20T16:32:30.910959,10.0.0.3,admin,ssh,login_attempt,FAILED,Timeout
2026-05-20T16:37:30.910959,192.168.1.16,admin,ssh,login_attempt,SUCCESS,
2026-05-20T16:42:30.910959,192.168.1.10,admin,ssh,login_attempt,SUCCESS,
2026-05-20T16:47:30.910959,192.168.1.42,admin,ssh,login_attempt,SUCCESS,
2026-05-20T16:52:30.910959,192.168.1.21,user,ssh,login_attempt,SUCCESS,
2026-05-20T16:57:30.910959,192.168.1.18,admin,ssh,login_attempt,SUCCESS,
2026-05-20T17:02:30.910959,192.168.1.1,user,ssh,login_attempt,FAILED,Connection closed
2026-05-20T17:07:30.910959,192.168.1.6,user,ssh,login_attempt,FAILED,Failed password
2026-05-20T17:12:30.910959,192.168.1.24,user,ssh,login_attempt,SUCCESS,
2026-05-20T17:17:30.910959,192.168.1.41,user,ssh,login_attempt,SUCCESS,
2026-05-20T17:22:30.910959,192.168.1.8,user,ssh,login_attempt,SUCCESS,
2026-05-20T17:27:30.910959,192.168.1.24,user,ssh,login_attempt,SUCCESS,
2026-05-20T17:32:30.910959,192.168.1.19,admin,ssh,login_attempt,SUCCESS,
2026-05-20T17:37:30.910959,192.168.1.2,user,ssh,login_attempt,FAILED,Timeout
2026-05-20T17:42:30.910959,192.168.1.16,user,ssh,login_attempt,SUCCESS,
